epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
125,17079.8,0.68998,0.7236,0.9889,0.77742,0.0075448,0.0075448,0.0075448
126,17216,0.69999,0.72407,0.9889,0.77901,0.007525,0.007525,0.007525
127,17352.2,0.69217,0.72534,0.9889,0.77622,0.0075052,0.0075052,0.0075052
128,17486.3,0.68127,0.7255,0.9889,0.77072,0.0074854,0.0074854,0.0074854
129,17622.6,0.68136,0.72661,0.9889,0.77461,0.0074656,0.0074656,0.0074656
130,17758.5,0.67287,0.72788,0.9889,0.77224,0.0074458,0.0074458,0.0074458
131,17888.3,0.67373,0.7282,0.9889,0.77188,0.007426,0.007426,0.007426
132,18023.2,0.67067,0.72978,0.98874,0.76996,0.0074062,0.0074062,0.0074062
133,18160.3,0.66589,0.73042,0.98874,0.77079,0.0073864,0.0073864,0.0073864
134,18294.1,0.66699,0.73089,0.9889,0.7651,0.0073666,0.0073666,0.0073666
135,18426.8,0.66023,0.73121,0.9889,0.76957,0.0073468,0.0073468,0.0073468
136,18561.9,0.64995,0.732,0.9889,0.76664,0.007327,0.007327,0.007327
137,18694.5,0.65665,0.73311,0.98922,0.76718,0.0073072,0.0073072,0.0073072
138,18828.1,0.64287,0.73327,0.98938,0.77273,0.0072874,0.0072874,0.0072874
139,18963.7,0.65534,0.73327,0.98938,0.76468,0.0072676,0.0072676,0.0072676
140,19097.5,0.65443,0.7347,0.98922,0.76243,0.0072478,0.0072478,0.0072478
141,19234.3,0.6333,0.73549,0.9889,0.76437,0.007228,0.007228,0.007228
142,19367.5,0.64439,0.73612,0.98874,0.76332,0.0072082,0.0072082,0.0072082
143,19501.4,0.64498,0.73565,0.98874,0.76869,0.0071884,0.0071884,0.0071884
144,19635.8,0.636,0.73612,0.9889,0.76375,0.0071686,0.0071686,0.0071686
145,19772.2,0.63519,0.73612,0.98874,0.76107,0.0071488,0.0071488,0.0071488
146,19905.4,0.61379,0.73676,0.98874,0.75771,0.007129,0.007129,0.007129
147,20043.9,0.62163,0.73597,0.9889,0.76292,0.0071092,0.0071092,0.0071092
148,20183,0.6213,0.73565,0.98874,0.76536,0.0070894,0.0070894,0.0070894
149,20321.2,0.61866,0.73533,0.98827,0.76125,0.0070696,0.0070696,0.0070696
150,20454,0.61344,0.73581,0.98842,0.76411,0.0070498,0.0070498,0.0070498
151,20589.7,0.61931,0.73612,0.98827,0.75847,0.00703,0.00703,0.00703
152,20725.2,0.61193,0.73644,0.98827,0.75829,0.0070102,0.0070102,0.0070102
153,20862.9,0.60385,0.73755,0.98811,0.76043,0.0069904,0.0069904,0.0069904
154,20997.4,0.60602,0.7385,0.98795,0.75581,0.0069706,0.0069706,0.0069706
155,21134.8,0.60879,0.73914,0.98779,0.76051,0.0069508,0.0069508,0.0069508
156,21268,0.60841,0.74056,0.98779,0.7589,0.006931,0.006931,0.006931
157,21400.9,0.59011,0.74056,0.98827,0.76187,0.0069112,0.0069112,0.0069112
158,21540.3,0.5967,0.74104,0.98779,0.76245,0.0068914,0.0068914,0.0068914
159,21673.7,0.58558,0.74247,0.98763,0.75943,0.0068716,0.0068716,0.0068716
160,21811,0.57979,0.74183,0.98763,0.75555,0.0068518,0.0068518,0.0068518
161,21946.2,0.59336,0.74278,0.98763,0.75415,0.006832,0.006832,0.006832
162,22081.9,0.58212,0.74247,0.98763,0.76219,0.0068122,0.0068122,0.0068122
163,22218.1,0.58257,0.74247,0.98763,0.75813,0.0067924,0.0067924,0.0067924
164,22355.2,0.57428,0.74326,0.98763,0.75826,0.0067726,0.0067726,0.0067726
165,22496.9,0.57178,0.74358,0.98747,0.75404,0.0067528,0.0067528,0.0067528
166,22632.2,0.56324,0.74358,0.98763,0.75724,0.006733,0.006733,0.006733
167,22774.9,0.56363,0.74485,0.98763,0.7588,0.0067132,0.0067132,0.0067132
168,22907.7,0.5784,0.74453,0.98747,0.75368,0.0066934,0.0066934,0.0066934
169,23048.6,0.56387,0.74532,0.98731,0.75718,0.0066736,0.0066736,0.0066736
170,23181.1,0.57611,0.74485,0.98763,0.75761,0.0066538,0.0066538,0.0066538
171,23315.3,0.55342,0.74532,0.98763,0.75808,0.006634,0.006634,0.006634
172,23452.9,0.55371,0.74675,0.98795,0.75933,0.0066142,0.0066142,0.0066142
173,23589.9,0.57643,0.74659,0.98779,0.75807,0.0065944,0.0065944,0.0065944
